created_at,created_by,message,team
2017-02-15T05:47:13Z,user1,"Add Register functionality to server with error checking. Add Toast notifications, support library for parsing, clean up code.",team2
2017-02-14T22:33:38Z,user1,Add login by entering username and password and indicate if login success or fail,team2
2017-02-14T18:25:24Z,user1,"Merge pull request #25 from SE17GroupH/sid

Add local Fingerprint authentication in Android app",team2
2017-02-14T18:05:17Z,user1,"Add local Fingerprint auth functionality

Add authentication code to FingerprintAuthActivity, with layout, drawables, and a helper class. Force Close on phones which don't have fingerprint hardware.",team2
2017-02-09T22:21:47Z,user1,Add build dependency for FingerprintAuthHelper. Add fingerpring code to Activity.,team2
2017-02-09T20:39:31Z,user3,"Merge pull request #22 from SE17GroupH/devarenacn

Move server project to seperate repo",team2
2017-02-09T20:38:49Z,user3,Move server project to seperate repo,team2
2017-02-09T17:38:48Z,user3,"Merge pull request #20 from SE17GroupH/devarenacn

Basic registration with Devise using RoR",team2
2017-02-09T17:16:11Z,user3,Basic registration with Devise using RoR,team2
2017-02-09T17:00:41Z,user3,"Merge pull request #19 from SE17GroupH/kg

Merged!",team2
2017-02-09T16:12:45Z,user2,created basic app flow,team2
2017-02-09T15:03:28Z,user2,created layouts for basic app-flow,team2
2017-02-08T21:28:27Z,user2,"Merge pull request #13 from SE17GroupH/kg

test branch commit",team2
2017-02-08T21:26:39Z,user2,test branch commit,team2
2017-02-08T20:31:57Z,user2,base project,team2
2017-02-08T16:33:40Z,user3,Update README.md,team2
2017-02-08T16:23:50Z,user3,Initial commit,team2
2017-03-27T02:06:29Z,user3,Update new_session.html.erb,team2
2017-03-27T01:57:10Z,user3,bug fix,team2
2017-03-27T01:51:37Z,user3,Update url for magiclink,team2
2017-03-27T01:33:43Z,user3,"Update new_session.html.erb

Change to magic link url",team2
2017-03-27T01:29:32Z,user3,"Update new_session.html.erb

fix wrong link for magic link login",team2
2017-03-10T04:03:42Z,user3,Add new mailing template,team2
2017-03-10T03:35:24Z,user3,bug fixed,team2
2017-03-10T03:34:54Z,user3,modify confirmation email,team2
2017-03-10T03:29:55Z,user3,alpha version of the confirmation email,team2
2017-03-10T03:24:15Z,user3,"Merge pull request #23 from SE17GroupH/mailModify

Adding views for Devise",team2
2017-03-10T03:23:53Z,user3,Adding views for Devise,team2
2017-03-10T03:14:25Z,user3,"Merge pull request #22 from SE17GroupH/mailModify

Upgrade security",team2
2017-03-10T03:13:35Z,user3,Upgrade security,team2
2017-03-10T03:01:42Z,user3,"Merge pull request #21 from SE17GroupH/mailModify

upgrade security for showing too much info",team2
2017-03-10T03:00:49Z,user3,upgrade security for showing too much info,team2
2017-02-26T19:58:22Z,user1,Update README with some formatting,team2
2017-02-23T14:25:51Z,user3,"Merge pull request #16 from SE17GroupH/mailModify

Mail modify",team2
2017-02-23T14:22:12Z,user3,custom view for magic link login,team2
2017-02-23T13:52:40Z,user3,create function to get userId from Microsoft for later use,team2
2017-02-20T17:37:00Z,user3,"Merge pull request #15 from SE17GroupH/enrollM

minor change to magicLink return JSON format",team2
2017-02-20T17:32:42Z,user3,minor change to magicLink return JSON format,team2
2017-02-17T14:19:31Z,user3,"Merge pull request #12 from SE17GroupH/magicLink

Add email confirmation, testing done on Heroku",team2
2017-02-17T14:15:41Z,user3,"update mailer config, need testing",team2
2017-02-17T14:13:12Z,user3,change env.rb file,team2
2017-02-17T13:45:30Z,user3,change migration file,team2
2017-02-17T13:38:35Z,user3,"Add user email confirmation method, need testing on Heroku",team2
2017-02-17T02:33:42Z,user3,"Update readme.MD

Adding documentation for auth_token verification",team2
2017-02-17T02:28:34Z,user3,"Merge pull request #11 from SE17GroupH/magicLink

Add authorization with email and token",team2
2017-02-17T02:26:46Z,user3,Add authorization with email and token,team2
2017-02-17T01:44:39Z,user3,"Update readme.MD

Add magic link api call",team2
2017-02-17T01:41:40Z,user3,"Merge pull request #10 from SE17GroupH/magicLink

Magic link generated",team2
2017-02-17T01:40:41Z,user3,modify magic link,team2
2017-02-17T01:37:55Z,user3,add magic link in the email template,team2
2017-02-16T14:00:46Z,user3,"Merge pull request #9 from SE17GroupH/magicLink

Magic link",team2
2017-02-16T13:58:12Z,user3,modify sending mailer controller method,team2
2017-02-16T13:55:23Z,user3,modify application_mailer,team2
2017-02-16T13:46:40Z,user3,minor fix on user_mailer,team2
2017-02-16T13:35:48Z,user3,modify actionamailer parameter,team2
2017-02-16T05:12:44Z,user3,change production setting,team2
2017-02-16T05:07:36Z,user3,add dubug funtion,team2
2017-02-16T05:02:46Z,user3,minor fix,team2
2017-02-16T04:55:48Z,user3,minor fix,team2
2017-02-16T04:48:56Z,user3,change magiclink controller location,team2
2017-02-16T04:46:55Z,user3,change magiclink controller location,team2
2017-02-16T04:39:52Z,user3,test send out email param,team2
2017-02-16T04:16:18Z,user3,change gmail setup,team2
2017-02-16T04:02:30Z,user3,fix dotenv error in application.rb,team2
2017-02-16T04:01:17Z,user3,minor change to ENV variables,team2
2017-02-16T03:54:49Z,user3,minor fix on gmail setting,team2
2017-02-16T03:03:05Z,user3,"Add code for sending email, testing needed",team2
2017-02-13T01:46:40Z,user3,"Update README.md

fix errors",team2
2017-02-13T01:45:21Z,user3,"Update README.md

Update documentation for API calls",team2
2017-02-13T01:38:05Z,user3,"Update README.md

update README.md",team2
2017-02-13T01:31:46Z,user3,add user register funtion to Api controller,team2
