,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
647,labeled,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",1,1486571926.0,1487306515.0,1486571712.0,3,[u'c2e0c6'],[u'Fingerprint'],1041694.0,919984.0,Fingerprint authentication complete,1487612910.0,1486571216.0,1487491200.0,Searching for resources for Fingerprint authentication,DevArenaCN
648,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",1,1486571920.0,1487306515.0,1486571712.0,3,[u'c2e0c6'],[u'Fingerprint'],1041694.0,919984.0,Fingerprint authentication complete,1487612910.0,1486571216.0,1487491200.0,Searching for resources for Fingerprint authentication,KaustubhG
649,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",1,1486571920.0,1487306515.0,1486571712.0,3,[u'c2e0c6'],[u'Fingerprint'],1041694.0,919984.0,Fingerprint authentication complete,1487612910.0,1486571216.0,1487491200.0,Searching for resources for Fingerprint authentication,DevArenaCN
650,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",1,1486571920.0,1487306515.0,1486571712.0,3,[u'c2e0c6'],[u'Fingerprint'],1041694.0,919984.0,Fingerprint authentication complete,1487612910.0,1486571216.0,1487491200.0,Searching for resources for Fingerprint authentication,thegreyd
651,labeled,thegreyd,"[u'thegreyd', u'DevArenaCN']",2,1486571908.0,1487299053.0,1486571688.0,2,[u'd4c5f9'],[u'MagicLink'],1041655.0,919947.0,Magic link setup complete,1487612908.0,1486571253.0,1487491200.0,Set up server for magic link,DevArenaCN
652,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN']",2,1486571902.0,1487299053.0,1486571688.0,2,[u'd4c5f9'],[u'MagicLink'],1041655.0,919947.0,Magic link setup complete,1487612908.0,1486571253.0,1487491200.0,Set up server for magic link,DevArenaCN
653,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN']",2,1486571897.0,1487299053.0,1486571688.0,2,[u'd4c5f9'],[u'MagicLink'],1041655.0,919947.0,Magic link setup complete,1487612908.0,1486571253.0,1487491200.0,Set up server for magic link,thegreyd
654,labeled,thegreyd,"[u'thegreyd', u'KaustubhG']",3,1486571887.0,1486586053.0,1486571131.0,1,"[u'128A0C', u'e99695']","[u'help wanted', u'UI']",379571.0,56050.0,Code base setup,1486950721.0,1486571150.0,1486627200.0,Set up project base code,DevArenaCN
655,milestoned,thegreyd,"[u'thegreyd', u'KaustubhG']",3,1486571879.0,1486586053.0,1486571131.0,1,"[u'128A0C', u'e99695']","[u'help wanted', u'UI']",379571.0,56050.0,Code base setup,1486950721.0,1486571150.0,1486627200.0,Set up project base code,DevArenaCN
656,assigned,thegreyd,"[u'thegreyd', u'KaustubhG']",3,1486571876.0,1486586053.0,1486571131.0,1,"[u'128A0C', u'e99695']","[u'help wanted', u'UI']",379571.0,56050.0,Code base setup,1486950721.0,1486571150.0,1486627200.0,Set up project base code,KaustubhG
657,assigned,thegreyd,"[u'thegreyd', u'KaustubhG']",3,1486571876.0,1486586053.0,1486571131.0,1,"[u'128A0C', u'e99695']","[u'help wanted', u'UI']",379571.0,56050.0,Code base setup,1486950721.0,1486571150.0,1486627200.0,Set up project base code,thegreyd
658,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",6,1486571839.0,1487882786.0,1486571839.0,5,[u'd4c5f9'],[u'MagicLink'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,MagicLink issues,DevArenaCN
659,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",1,1486571741.0,1487685341.0,1486571741.0,4,[u'c2e0c6'],[u'Fingerprint'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,Fingerprint authentication issues,DevArenaCN
660,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",1,1486571712.0,1487306515.0,1486571712.0,3,[u'c2e0c6'],[u'Fingerprint'],1041694.0,919984.0,Fingerprint authentication complete,1487612910.0,1486571216.0,1487491200.0,Searching for resources for Fingerprint authentication,DevArenaCN
661,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN']",2,1486571688.0,1487299053.0,1486571688.0,2,[u'd4c5f9'],[u'MagicLink'],1041655.0,919947.0,Magic link setup complete,1487612908.0,1486571253.0,1487491200.0,Set up server for magic link,DevArenaCN
